ticker,close,open,high,low,volume,change_%,value_traded,rvol,atr,perf_1m,perf_3m,volatility,tarih,z_vol,z_range,z_lambda,z_flow,shock_count,is_fresh_shock,shock_score,regime,score_diff
ENDAE,18.23,18.5,18.72,17.87,4053689.0,-2.5133689839572133,73898750.47,0.4766464309207024,1.0,18.684895833333343,7.109283196239724,4.756575265808606,2026-08-31,-1.15,-0.38,0.59,0.0,0,True,0.0,NÖTR REJİM,0.0
LINK,5.42,5.68,5.75,5.41,13574410.0,-4.745166959578215,73573302.2,0.8874577631831355,1.0,-3.7300177619893424,-30.15463917525773,6.284658040665431,2026-08-31,-0.25,-1.65,1.0,0.0,0,False,0.0,🪤 DÜŞEN BIÇAK TUZAĞI,0.0
FRIGO,2.67,2.68,2.7,2.6,27175349.0,-0.7434944237918222,72558181.83,0.571965655089519,1.0,24.186046511627907,-16.300940438871475,3.8461538461538494,2026-08-31,-0.94,-2.0,0.2,0.88,0,False,0.0,NÖTR REJİM,0.0
EREGL,38.92,39.3,40.1,38.66,140413465.0,-0.612870275791611,5464892057.8,0.7560699753155194,1.0,-8.55263157894737,-3.80622837370242,3.7247801345059623,2026-08-31,-0.54,1.1,0.0,0.0,0,True,0.0,NÖTR REJİM,0.0
THYAO,302.75,305.5,306.5,302.25,31954480.0,-1.5447154471544715,9674218820.0,0.6903721305040766,1.0,-2.96474358974359,2.801358234295416,1.7369727047146402,2026-08-31,-0.68,6.0,0.0,0.0,1,True,0.0,NÖTR REJİM,0.0
ASTOR,326.25,350.0,355.25,317.0,48752692.0,-6.585540443808161,15905565765.0,1.5552113501970055,1.0,12.4031007751938,-2.320359281437126,12.066246056782335,2026-08-31,1.22,6.0,0.01,0.0,1,True,0.0,NÖTR REJİM,0.0
ASELS,388.0,404.25,406.75,385.25,28761758.0,-3.9603960396039604,11159562104.0,0.8981446832762862,1.0,13.782991202346041,0.7792207792207793,5.580791693705386,2026-08-31,-0.22,6.0,0.01,0.0,1,True,0.0,NÖTR REJİM,0.0
AKBNK,71.8,73.4,73.4,71.25,137128157.0,-1.9125683060109366,9845801672.6,0.9602470904356709,1.0,15.806451612903222,11.317829457364338,3.017543859649131,2026-08-31,-0.09,2.88,0.0,0.0,1,True,0.0,NÖTR REJİM,0.0
CEMAS,4.12,4.35,4.35,4.08,17153354.0,-5.28735632183907,70671818.48,0.8430715019186994,1.0,0.4878048780487918,-18.57707509881422,6.617647058823519,2026-08-31,-0.35,-1.83,1.12,0.0,0,False,0.0,NÖTR REJİM,0.0
VERUS,646.0,695.5,695.5,626.5,108597.0,-7.183908045977011,70153662.0,1.1289878230205521,1.0,27.416173570019723,11.95840554592721,11.093375897845172,2026-08-31,0.28,6.0,1.41,0.0,2,False,0.0,NÖTR REJİM,0.0
EFOR,18.67,19.19,19.28,18.22,49114611.0,-2.709744658676392,916969787.3700001,0.5717689240228637,1.0,-12.593632958801487,55.58333333333335,5.817782656421528,2026-08-31,-0.94,0.15,0.06,0.0,0,True,0.0,NÖTR REJİM,0.0
HEKTS,2.77,2.88,2.89,2.75,313341337.0,-3.146853146853142,867955503.49,1.093273989778383,1.0,-4.810996563573887,-30.922693266832912,5.090909090909095,2026-08-31,0.21,-2.0,0.07,0.0,0,False,0.0,🪤 DÜŞEN BIÇAK TUZAĞI,0.0
METEN,20.24,21.44,21.68,19.89,41608900.0,-8.416289592760194,842164135.9999999,0.5628736376300365,1.0,-3.6190476190476266,-8.000000000000007,11.111111111111114,2026-08-31,-0.96,1.97,0.19,0.0,1,True,0.0,NÖTR REJİM,0.0
VEYAS,136.0,136.5,141.8,134.0,6006930.0,-0.43923865300146,816942480.0,1.0,1.0,0.0,0.0,5.820895522388068,2026-08-31,0.0,6.0,0.01,0.0,1,True,0.0,NÖTR REJİM,0.0
BJKAS,2.21,2.36,2.37,2.21,354365623.0,-9.795918367346946,783148026.83,0.5930006465763188,1.0,24.15730337078651,37.2670807453416,10.85972850678734,2026-08-31,-0.9,-2.0,0.24,0.0,0,False,0.0,NÖTR REJİM,0.0
ATATR,14.33,15.8,16.07,14.33,52580913.0,-9.987437185929647,753484483.29,1.632423002694662,1.0,2.4303073624017144,-23.450854700854695,12.142358688066993,2026-08-31,1.39,1.85,0.25,0.0,1,False,0.0,NÖTR REJİM,0.0
MAGEN,34.54,35.8,36.86,34.46,21098492.0,-3.7346711259754835,728741913.68,1.266655184707375,1.0,-9.391395592864635,-45.777080062794354,6.96459663377829,2026-08-31,0.59,3.5,0.1,0.0,1,False,0.0,🪤 DÜŞEN BIÇAK TUZAĞI,0.0
